t,n_grads,f,f_avg,trans_bits,train_accuracy,test_accuracy,comm_rounds,var_error
0.0,0.0,4.300353516934229,4.300353516934229,0.0,0.3882513661202186,0.4147665580890337,0.0,3.6027431561221914
1.0,0.0,12.8559707953314,17.111234556794344,768.0,0.3882513661202186,0.4147665580890337,2.0,3.597372264775859
2.0,0.0,10.660735398883489,25.53170703873961,1536.0,0.3882513661202186,0.4147665580890337,4.0,3.5920738555590384
3.0,0.0,9.898985266954535,33.86220456298759,2304.0,0.3882513661202186,0.4147665580890337,6.0,3.586838944715306
4.0,0.0,9.49561402361033,42.10270762589504,3072.0,0.3882513661202186,0.4147665580890337,8.0,3.581663122242905
5.0,0.0,9.235602783486591,50.25332020897087,3840.0,0.3882513661202186,0.4147665580890337,10.0,3.576557421440757
6.0,0.0,9.047298622336678,58.314263259069264,4608.0,0.3882513661202186,0.4147665580890337,12.0,3.5715149148981924
7.0,0.0,8.899993347925703,66.28564361189058,5376.0,0.3882513661202186,0.4147665580890337,14.0,3.5665332871763185
8.0,0.0,8.77832005536047,74.16747727387695,6144.0,0.3882513661202186,0.4147665580890337,16.0,3.561610138707289
9.0,0.0,8.673746233543264,81.95995492990181,6912.0,0.3882513661202186,0.4147665580890337,18.0,3.5567585911818234
10.0,0.0,8.581158541533703,89.66321590077226,7680.0,0.3882513661202186,0.4147665580890337,20.0,3.5519764691115956
11.0,0.0,8.497301690872021,97.27742129841221,8448.0,0.3882513661202186,0.4147665580890337,22.0,3.5472644986143074
12.0,0.0,8.420000834253202,104.80259872366463,9216.0,0.3882513661202186,0.4147665580890337,24.0,3.54260862660917
13.0,0.0,8.347749950024152,112.23889997696332,9984.0,0.3882513661202186,0.4147665580890337,26.0,3.5380215427921935
14.0,0.0,8.27947954083274,119.58652716635342,10752.0,0.3882513661202186,0.4147665580890337,28.0,3.5335069790458467
15.0,0.0,8.214404728199904,126.84561467964369,11520.0,0.3882513661202186,0.4147665580890337,30.0,3.5290584589970084
16.0,0.0,8.151934407116693,134.0162863480905,12288.0,0.3882513661202186,0.4147665580890337,32.0,3.5246759696282695
17.0,0.0,8.091617525870284,141.09870953149914,13056.0,0.3882513661202186,0.4147665580890337,34.0,3.520362829639162
18.0,0.0,8.033102749361298,148.09298944550756,13824.0,0.3882513661202186,0.4147665580890337,36.0,3.5161167907015227
19.0,0.0,7.97611432801733,154.99935501915098,14592.0,0.3882513661202186,0.4147665580890337,38.0,3.5119412222198165
20.0,0.0,7.92043330217288,161.81797706776422,15360.0,0.3882513661202186,0.4147665580890337,40.0,3.5078353247986613
21.0,0.0,7.865879296821806,168.54895339875162,16128.0,0.3882513661202186,0.4147665580890337,42.0,3.503797418873851
22.0,0.0,7.812307753510996,175.19258775573223,16896.0,0.3882513661202186,0.4147665580890337,44.0,3.4998326287957444
23.0,0.0,7.759600169452027,181.749020039061,17664.0,0.3882513661202186,0.4147665580890337,46.0,3.495932621083353
24.0,0.0,7.707652772190897,188.21831302610207,18432.0,0.3882513661202186,0.4147665580890337,48.0,3.492098060871999
25.0,0.0,7.656382215380206,194.60079774290824,19200.0,0.3882513661202186,0.4147665580890337,50.0,3.488334948781445
26.0,0.0,7.605719246571341,200.8966030788015,19968.0,0.3882513661202186,0.4147665580890337,52.0,3.484640667063607
27.0,0.0,7.55560356761323,207.10598957231292,20736.0,0.3882513661202186,0.4147665580890337,54.0,3.481014529616755
28.0,0.0,7.505985339244057,213.22918942535426,21504.0,0.3882513661202186,0.4147665580890337,56.0,3.4774612402657032
29.0,0.0,7.456821350564962,219.26644890741352,22272.0,0.3882513661202186,0.4147665580890337,58.0,3.4739758798661464
30.0,0.0,7.408075201200216,225.2180631645994,23040.0,0.3882513661202186,0.4147665580890337,60.0,3.4705653061419364
31.0,0.0,7.359715533493674,231.08429991200836,23808.0,0.3882513661202186,0.4147665580890337,62.0,3.4672279047363
32.0,0.0,7.3117149455784345,236.86545660501145,24576.0,0.3882513661202186,0.4147665580890337,64.0,3.4639595268710175
33.0,0.0,7.264049453249598,242.56180730946204,25344.0,0.3882513661202186,0.4147665580890337,66.0,3.460763904541369
34.0,0.0,7.2166972020497715,248.17360242992243,26112.0,0.3882513661202186,0.4147665580890337,68.0,3.457634268768471
35.0,0.0,7.169639567450293,253.7011672915981,26880.0,0.3882513661202186,0.4147665580890337,70.0,3.4545783287135414
36.0,0.0,7.122861165606555,259.1448366320738,27648.0,0.3882513661202186,0.4147665580890337,72.0,3.451593240643073
37.0,0.0,7.07634827891082,264.5049360073269,28416.0,0.3882513661202186,0.4147665580890337,74.0,3.448679479855921
38.0,0.0,7.030089109044674,269.7818362800684,29184.0,0.3882513661202186,0.4147665580890337,76.0,3.4458407320080817
39.0,0.0,6.98407398834114,274.97593481054054,29952.0,0.3882513661202186,0.4147665580890337,78.0,3.443075534706952
40.0,0.0,6.938294695200578,280.0876408055057,30720.0,0.3882513661202186,0.4147665580890337,80.0,3.4403823616584224
41.0,0.0,6.892743452188217,285.1173222739281,31488.0,0.3882513661202186,0.4147665580890337,82.0,3.437754439039705
42.0,0.0,6.847413347269419,290.06539889670313,32256.0,0.3882513661202186,0.4147665580890337,84.0,3.4352080800230094
43.0,0.0,6.802299610772176,294.93236762970395,33024.0,0.3882513661202186,0.4147665580890337,86.0,3.4327296768522575
44.0,0.0,6.757398649564811,299.7187135319994,33792.0,0.3882513661202186,0.4147665580890337,88.0,3.430329603026017
45.0,0.0,6.712706465593017,304.42486837137216,34560.0,0.3882513661202186,0.4147665580890337,90.0,3.428001182487743
46.0,0.0,6.668220479594229,309.05141575129693,35328.0,0.3882513661202186,0.4147665580890337,92.0,3.4257445020149593
47.0,0.0,6.623939195374754,313.59886861392994,36096.0,0.3882513661202186,0.4147665580890337,94.0,3.4235619469689182
48.0,0.0,6.579860903720021,318.067778143192,36864.0,0.3882513661202186,0.4147665580890337,96.0,3.42145130658868
49.0,0.0,6.5359848916369625,322.4587412372303,37632.0,0.3882513661202186,0.4147665580890337,98.0,3.419413886557099
50.0,0.0,6.492311242509178,326.7723830136875,38400.0,0.3882513661202186,0.4147665580890337,100.0,3.4174536964709623
51.0,0.0,6.448840302267693,331.00932781761725,39168.0,0.3882513661202186,0.4147665580890337,102.0,3.415568947285154
52.0,0.0,6.405572173600597,335.17017823684483,39936.0,0.3882513661202186,0.4147665580890337,104.0,3.413754580798206
53.0,0.0,6.36250800640426,339.25567044200676,40704.0,0.3882513661202186,0.4147665580890337,106.0,3.4120201573914892
54.0,0.0,6.319650220040846,343.2665533224046,41472.0,0.3882513661202186,0.4147665580890337,108.0,3.410357394595723
55.0,0.0,6.2770013048716296,347.2035902134747,42240.0,0.41120218579234974,0.43431053203040176,110.0,3.4087693798641623
56.0,0.0,6.234563961118738,351.067573431824,43008.0,0.41174863387978144,0.43539630836047777,112.0,3.407257443265659
57.0,0.0,6.192341198728892,354.85932322326966,43776.0,0.4122950819672131,0.43539630836047777,114.0,3.405822803646456
58.0,0.0,6.150336537631409,358.57971514197374,44544.0,0.4133879781420765,0.43431053203040176,116.0,3.4044621341719705
59.0,0.0,6.108553247609116,362.2295680759019,45312.0,0.41502732240437157,0.4364820846905538,118.0,3.4031729101625476
60.0,0.0,6.066994573862002,365.8097807875383,46080.0,0.41775956284153004,0.4364820846905538,120.0,3.401963457147884
61.0,0.0,6.025664290968001,369.32126271055785,46848.0,0.419672131147541,0.4375678610206297,122.0,3.4008288944060308
62.0,0.0,5.98456614645447,372.7649394497964,47616.0,0.4215846994535519,0.44082519001085774,124.0,3.399764832482311
63.0,0.0,5.943704526651977,376.1418309083527,48384.0,0.42349726775956287,0.44516829533116176,126.0,3.3987776908716265
64.0,0.0,5.9030846002962445,379.4529979295666,49152.0,0.42568306010928963,0.4495114006514658,128.0,3.397868423693235
65.0,0.0,5.862711155180962,382.69945224395855,49920.0,0.4262295081967213,0.4495114006514658,130.0,3.397029254152512
66.0,0.0,5.822589219860478,385.88232477762455,50688.0,0.4314207650273224,0.4549402823018458,132.0,3.3962647267404535
67.0,0.0,5.782723928627582,389.00268165847143,51456.0,0.43633879781420765,0.4603691639522258,134.0,3.3955784426507005
68.0,0.0,5.743120846138134,392.06175341631484,52224.0,0.4418032786885246,0.46362649294245384,136.0,3.3949701085079362
69.0,0.0,5.703785729366797,395.0606772363031,52992.0,0.4448087431693989,0.47122692725298587,138.0,3.3944365372100234
70.0,0.0,5.664724271573648,398.00072078400757,53760.0,0.44808743169398907,0.4766558089033659,140.0,3.393980408707552
71.0,0.0,5.625942320520523,400.8830887299068,54528.0,0.45737704918032784,0.48534201954397393,142.0,3.393596479936075
72.0,0.0,5.587445669499393,403.7090876780058,55296.0,0.4636612021857924,0.496199782844734,144.0,3.3932944061389043
