t,n_grads,f,f_avg,trans_bits,train_accuracy,test_accuracy,comm_rounds,var_error
0.0,0.0,4.610701460134284,4.610701460134284,0.0,0.3882513661202186,0.4147665580890337,0.0,3.5210423912367683
1.0,0.0,13.77230233954681,18.32320175882505,768.0,0.3882513661202186,0.4147665580890337,2.0,3.518531760859963
2.0,0.0,11.40721215406974,27.305646857453908,1536.0,0.3882513661202186,0.4147665580890337,4.0,3.516119220740875
3.0,0.0,10.579077121359669,36.1688158707041,2304.0,0.3882513661202186,0.4147665580890337,6.0,3.5137995539328717
4.0,0.0,10.135208850539186,44.91285493360938,3072.0,0.3882513661202186,0.4147665580890337,8.0,3.511571525786739
5.0,0.0,9.845070065758042,53.537845723971046,3840.0,0.3882513661202186,0.4147665580890337,10.0,3.50943853754692
6.0,0.0,9.631810110866919,62.04387560643198,4608.0,0.3882513661202186,0.4147665580890337,12.0,3.5074070978145993
7.0,0.0,9.462503888473902,70.43117883220265,5376.0,0.3882513661202186,0.4147665580890337,14.0,3.5054671609006745
8.0,0.0,9.32069453904094,78.69993379245238,6144.0,0.3882513661202186,0.4147665580890337,16.0,3.503624904857093
9.0,0.0,9.197236136561227,86.8503166656497,6912.0,0.3882513661202186,0.4147665580890337,18.0,3.5018786420990233
10.0,0.0,9.086638425675854,94.88245184786737,7680.0,0.3882513661202186,0.4147665580890337,20.0,3.5002245654709854
11.0,0.0,8.985410192378579,102.79657238446134,8448.0,0.3882513661202186,0.4147665580890337,22.0,3.498670825320692
12.0,0.0,8.891225956288157,110.59285056645442,9216.0,0.3882513661202186,0.4147665580890337,24.0,3.497220130884886
13.0,0.0,8.802474521899608,118.27148700293537,9984.0,0.3882513661202186,0.4147665580890337,26.0,3.49585894606277
14.0,0.0,8.718003361298068,125.83260711341055,10752.0,0.3882513661202186,0.4147665580890337,28.0,3.494596466260714
15.0,0.0,8.636969456257352,133.27647657431,11520.0,0.3882513661202186,0.4147665580890337,30.0,3.493427559203224
16.0,0.0,8.558743288488442,140.60330865732013,12288.0,0.3882513661202186,0.4147665580890337,32.0,3.4923587348968046
17.0,0.0,8.482840205604179,147.81325833322197,13056.0,0.3882513661202186,0.4147665580890337,34.0,3.4913813505484304
18.0,0.0,8.408883387387561,154.90654361273025,13824.0,0.3882513661202186,0.4147665580890337,36.0,3.490504734795443
19.0,0.0,8.336581657551594,161.88355937423032,14592.0,0.3882513661202186,0.4147665580890337,38.0,3.4897282294749297
20.0,0.0,8.265701934624188,168.7445180107372,15360.0,0.3882513661202186,0.4147665580890337,40.0,3.4890444594099543
21.0,0.0,8.196056232771408,175.4898437656619,16128.0,0.3882513661202186,0.4147665580890337,42.0,3.488461286632921
22.0,0.0,8.127493039093144,182.11984995443643,16896.0,0.3882513661202186,0.4147665580890337,44.0,3.487974533398549
23.0,0.0,8.05988602540282,188.63490721409326,17664.0,0.3882513661202186,0.4147665580890337,46.0,3.487587551759026
24.0,0.0,7.9931308536777435,195.0353737624384,18432.0,0.3882513661202186,0.4147665580890337,48.0,3.487290417942102
25.0,0.0,7.9271391131405755,201.32158189459037,19200.0,0.3882513661202186,0.4147665580890337,50.0,3.4870900490347414
26.0,0.0,7.861840031435525,207.49409974005695,19968.0,0.3882513661202186,0.4147665580890337,52.0,3.486995589666415
27.0,0.0,7.797174260971222,213.553310352389,20736.0,0.3882513661202186,0.4147665580890337,54.0,3.4869943447501472
28.0,0.0,7.733089522279047,219.49970289523768,21504.0,0.3882513661202186,0.4147665580890337,56.0,3.487094205561365
29.0,0.0,7.66954349295651,225.33381969623994,22272.0,0.3882513661202186,0.4147665580890337,58.0,3.487286488343353
30.0,0.0,7.60650107149391,231.05624459339467,23040.0,0.3882513661202186,0.4147665580890337,60.0,3.487581902142991
31.0,0.0,7.543932564647853,236.6675744147722,23808.0,0.3882513661202186,0.4147665580890337,62.0,3.487972746690069
32.0,0.0,7.481813276649392,242.1684752907889,24576.0,0.3882513661202186,0.4147665580890337,64.0,3.4884614130249325
33.0,0.0,7.4201232254266,247.55965758736673,25344.0,0.3882513661202186,0.4147665580890337,66.0,3.4890465331225604
34.0,0.0,7.358845020591685,252.84180381286788,26112.0,0.3882513661202186,0.4147665580890337,68.0,3.4897302357857396
35.0,0.0,7.2979632512205495,258.01562377257056,26880.0,0.3882513661202186,0.4147665580890337,70.0,3.4905050236213535
36.0,0.0,7.237467638183816,263.08204617666416,27648.0,0.3882513661202186,0.4147665580890337,72.0,3.491381402036952
37.0,0.0,7.17735133980897,268.0419529691996,28416.0,0.3882513661202186,0.4147665580890337,74.0,3.4923579001512617
38.0,0.0,7.117607531482167,272.8962194234451,29184.0,0.3882513661202186,0.4147665580890337,76.0,3.493423186073893
39.0,0.0,7.058232503303866,277.6459158342565,29952.0,0.3882513661202186,0.4147665580890337,78.0,3.494591576430981
40.0,0.0,6.99922484855377,282.2920720500451,30720.0,0.3882513661202186,0.4147665580890337,80.0,3.4958561332719835
41.0,0.0,6.9405848819042735,286.8358882661053,31488.0,0.3882513661202186,0.4147665580890337,82.0,3.4972179223548188
42.0,0.0,6.882314800658024,291.27855498916875,32256.0,0.4054644808743169,0.43105320304017375,84.0,3.498678678811819
43.0,0.0,6.8244169676479345,295.6213042285536,33024.0,0.41174863387978144,0.43539630836047777,86.0,3.5002312282205232
44.0,0.0,6.766894880319304,299.8654452395452,33792.0,0.412568306010929,0.43539630836047777,88.0,3.50187959839195
45.0,0.0,6.709754101561812,304.0124239010178,34560.0,0.4131147540983607,0.43431053203040176,90.0,3.5036248470505442
46.0,0.0,6.653001746054107,308.06373673596005,35328.0,0.41721311475409834,0.43539630836047777,92.0,3.5054658225400184
47.0,0.0,6.596645742650287,312.0209630731669,36096.0,0.41857923497267757,0.43973941368078173,94.0,3.5074052208169633
48.0,0.0,6.54069406515304,315.88566718152487,36864.0,0.4204918032786885,0.43973941368078173,96.0,3.5094416572384897
